iter	Passed	Remaining
0	52	52541
1	52	26405
2	53	17690
3	53	13325
4	53	10699
5	54	8952
6	57	8209
7	58	7212
8	59	6546
9	59	5922
10	60	5406
11	60	4978
12	60	4612
13	61	4299
14	63	4186
15	63	3932
16	64	3715
17	64	3522
18	64	3349
19	65	3192
20	65	3052
21	65	2923
22	66	2805
23	66	2696
24	66	2593
25	66	2501
26	71	2592
27	72	2519
28	72	2440
29	74	2393
30	74	2323
31	74	2256
32	74	2195
33	75	2137
34	75	2081
35	78	2105
36	78	2056
37	79	2008
38	79	1963
39	80	1923
40	80	1885
41	81	1848
42	81	1810
43	81	1772
44	81	1736
45	81	1700
46	82	1668
47	82	1634
48	82	1605
49	83	1577
50	83	1550
51	83	1524
52	83	1498
53	84	1473
54	84	1449
55	84	1424
56	84	1401
57	84	1380
58	93	1493
59	94	1476
60	94	1458
61	95	1438
62	95	1419
63	95	1401
64	96	1383
65	96	1369
66	101	1419
67	102	1400
68	102	1382
69	102	1364
70	102	1347
71	103	1330
72	103	1314
73	103	1298
74	104	1283
75	104	1268
76	109	1316
77	110	1304
78	110	1288
79	110	1274
80	111	1260
81	111	1246
82	111	1233
83	111	1219
84	112	1206
85	112	1193
86	112	1181
87	112	1169
88	113	1158
89	118	1199
90	118	1188
91	119	1179
92	121	1180
93	121	1169
94	122	1171
95	123	1160
96	125	1164
97	125	1155
98	125	1144
99	126	1136
100	126	1127
101	126	1117
102	127	1108
103	127	1098
104	127	1089
105	133	1127
106	134	1123
107	136	1125
108	136	1115
109	136	1104
110	136	1094
111	136	1086
112	137	1077
113	137	1068
114	137	1060
115	138	1052
116	138	1044
117	138	1036
118	138	1028
119	139	1021
120	139	1013
121	139	1006
122	140	999
123	140	991
124	140	985
125	147	1021
126	147	1014
127	147	1006
128	150	1012
129	150	1005
130	150	998
131	150	992
132	151	985
133	151	977
134	151	971
135	151	965
136	152	958
137	152	952
138	152	946
139	152	939
140	153	933
141	153	927
142	153	922
143	154	916
144	154	911
145	154	905
146	155	899
147	155	893
148	155	888
149	155	882
150	155	877
151	158	881
152	158	876
153	158	871
154	159	869
155	159	865
156	160	860
157	160	855
158	160	850
159	161	845
160	161	840
161	161	835
162	161	830
163	162	826
164	162	821
165	162	817
166	163	814
167	163	810
168	163	805
169	164	801
170	164	796
171	164	792
172	165	789
173	165	785
174	165	781
175	166	777
176	166	773
177	166	769
178	166	765
179	167	762
180	167	759
181	168	756
182	168	752
183	168	749
184	169	745
185	169	742
186	169	738
187	170	734
188	170	731
189	170	728
190	171	724
191	171	721
192	171	718
193	172	714
194	172	711
195	172	707
196	172	704
197	173	701
198	173	698
199	173	695
200	174	692
201	174	688
202	174	686
203	175	683
204	175	680
205	175	677
206	176	675
207	176	672
208	176	669
209	177	666
210	177	663
211	177	660
212	178	657
213	178	655
214	178	652
215	179	649
216	179	647
217	179	645
218	180	642
219	180	640
220	180	637
221	181	635
222	181	632
223	181	630
224	182	628
225	182	625
226	183	623
227	183	620
228	183	618
229	184	616
230	184	613
231	184	611
232	185	609
233	185	607
234	185	604
235	186	602
236	186	600
237	187	598
238	187	596
